1.779159386824069600e-02,4.820451653079271814e-02,8.277736903747958674e-01,8.277736903747958674e-01
4.963022505158851683e-01,8.766228680801346762e-02,8.000520798141061984e-01,8.000520798141061984e-01
9.748129071635296405e-01,1.271200570852343281e-01,7.737825745913764486e-01,7.737825745913764486e-01
1.453032832953708553e+00,1.708371172250582326e-01,7.531799643789502952e-01,7.531799643789502952e-01
1.929580143094374201e+00,2.390584729945492981e-01,7.577865851702929589e-01,7.577865851702929589e-01
2.408815622517952892e+00,2.762666629379834093e-01,7.932475176566702313e-01,7.932475176566702313e-01
2.888334602916969640e+00,3.102041277753039283e-01,8.325437143207048418e-01,8.325437143207048418e-01
3.367853583315986388e+00,3.441415926126246694e-01,8.724795455090657015e-01,8.724795455090657015e-01
3.847372563715003135e+00,3.780790574499451884e-01,9.130138777851790621e-01,9.130138777851790621e-01
4.327325404843145762e+00,3.762248293192761439e-01,9.199737038807931366e-01,9.199737038807931366e-01
4.807249543549938942e+00,3.462094428642086275e-01,9.123117684252799453e-01,9.123117684252799453e-01
5.286124146566531401e+00,2.959727064745278913e-01,9.252556739699553390e-01,9.252556739699553390e-01
5.763219199957467787e+00,2.361776877728047896e-01,9.295865891911647694e-01,9.295865891911647694e-01
6.233898780208600776e+00,1.419240046138025013e-01,9.006392785342183238e-01,9.006392785342183238e-01
6.704578360459733766e+00,4.767032145480032401e-02,8.730851617471799830e-01,8.730851617471799830e-01
7.175257940710866755e+00,-4.658336170420196432e-02,8.469883275788270272e-01,8.469883275788270272e-01
7.648865194443055238e+00,-1.288958284691553713e-01,8.343564700737393647e-01,8.343564700737393647e-01
8.113641479989947669e+00,-2.489817602533910268e-01,8.660803785985187186e-01,8.660803785985187186e-01
8.576081974375853179e+00,-3.790250536698049899e-01,9.084167632479847043e-01,9.084167632479847043e-01
9.039208029078261930e+00,-5.006807141006717199e-01,9.589642104955267143e-01,9.589642104955267143e-01
9.507197377799370130e+00,-5.628353731643568336e-01,1.063394001265639988e+00,1.063394001265639988e+00
9.983345547507035178e+00,-5.883074636999251483e-01,1.132213711718799809e+00,1.132213711718799809e+00
1.046369773697273686e+01,-5.948780189374694993e-01,1.182865116237167724e+00,1.182865116237167724e+00
1.093304816455864170e+01,-5.532423035089031327e-01,1.268794104565647229e+00,1.268794104565647229e+00
1.139292512691603321e+01,-4.700968341026472430e-01,1.385594418100233094e+00,1.385594418100233094e+00
1.185299132741466366e+01,-3.746206350502524485e-01,1.492293922387697647e+00,1.492293922387697647e+00
1.231335751155341995e+01,-2.595975458176729145e-01,1.582205889208802008e+00,1.582205889208802008e+00
1.276597785857157419e+01,-1.279972482957478785e-01,1.683213852746171080e+00,1.683213852746171080e+00
1.321816775910760633e+01,4.524266762830464472e-03,1.785343315285358168e+00,1.785343315285358168e+00
1.367042778709069495e+01,1.356608105581140755e-01,1.889147003746768361e+00,1.889147003746768361e+00
1.412610541911802642e+01,2.570930205447559125e-01,1.989122257646352976e+00,1.989122257646352976e+00
1.459460850626880202e+01,3.476434085809652075e-01,2.067192388560252780e+00,2.067192388560252780e+00
1.506311159341957939e+01,4.381937966171742804e-01,2.145265895806783618e+00,2.145265895806783618e+00
1.552489193607431517e+01,5.571885639259057665e-01,2.200783720595227422e+00,2.200783720595227422e+00
